,WBAN,NAME,STATE/COUNTRY ID,Latitude,Longitude
0,33013,AIN EL,AL,36.38333333,6.65
1,33031,LA SENIA,AL,35.61666667,0.583333333
2,33023,MAISON BLANCHE,AL,36.71666667,3.2166666669999997
3,33044,TELERGMA,AL,36.11666667,6.416666667
4,12001,TINDOUF,AL,27.68333333,-8.083333332999999
5,11604,ST JOHNS/COOLIDGE FIELD,AT,17.11666667,-61.73333333
6,82502,AMBERLY,AU,-27.6,152.81666669999996
7,82501,ARCHER,AU,-27.58333333,153.0
8,82506,BRISBANE,AU,-27.43333333,153.1333333
9,82402,CHARLEVILLE,AU,-26.41666667,146.2166667
10,82403,CLONCURRY,AU,-20.68333333,140.58333330000002
11,81404,HORN ISLAND,AU,-10.6,142.16666669999995
12,82404,LONGREACH,AU,-23.45,144.06666669999996
13,82405,MACKAY,AU,-21.16666667,149.3
14,82503,ROCKHAMPTON,AU,-23.4,150.5333333
